alarm_id,timestamp,gnb_id,cell_id,notification_type,fault_type,severity,probable_cause,specific_problem
f4665e2a0569,2026-07-06T00:00:00,gNB-002,NRCell-006,ALARM_RAISED,TRANSPORT_DEGRADED,MAJOR,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
f4665e2a0569,2026-07-06T03:00:00,gNB-002,NRCell-006,ALARM_CLEARED,TRANSPORT_DEGRADED,CLEARED,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
ca066447db5c,2026-07-06T05:00:00,gNB-001,NRCell-001,ALARM_RAISED,TRANSPORT_DEGRADED,MAJOR,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
b6db2497eb41,2026-07-06T05:00:00,gNB-001,NRCell-003,ALARM_RAISED,TRANSPORT_DEGRADED,MAJOR,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
b6db2497eb41,2026-07-06T05:30:00,gNB-001,NRCell-003,ALARM_CLEARED,TRANSPORT_DEGRADED,CLEARED,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
ca066447db5c,2026-07-06T07:00:00,gNB-001,NRCell-001,ALARM_CLEARED,TRANSPORT_DEGRADED,CLEARED,Communications Subsystem Failure (backhaul),NG-U packet loss / microwave link fading
3237d9c8e6a9,2026-07-06T06:45:00,gNB-001,NRCell-003,ALARM_RAISED,SYNC_LOSS,MAJOR,Loss of Synchronisation (GNSS holdover),"gNB sync source degraded, TDD timing drifting"
3237d9c8e6a9,2026-07-06T09:30:00,gNB-001,NRCell-003,ALARM_CLEARED,SYNC_LOSS,CLEARED,Loss of Synchronisation (GNSS holdover),"gNB sync source degraded, TDD timing drifting"
0e39b5dd5af6,2026-07-06T18:00:00,gNB-002,NRCell-006,ALARM_RAISED,CELL_DOWN,CRITICAL,Equipment Failure (baseband processing),NR cell out of service
0e39b5dd5af6,2026-07-06T19:00:00,gNB-002,NRCell-006,ALARM_CLEARED,CELL_DOWN,CLEARED,Equipment Failure (baseband processing),NR cell out of service
faddc69aabfb,2026-07-07T09:00:00,gNB-001,NRCell-001,ALARM_RAISED,NEIGHBOR_MISSING,MINOR,Configuration or Customisation Error (ANR),"Missing/incorrect neighbour relation, HO to wrong PCI"
9964726d1d4a,2026-07-07T10:15:00,gNB-002,NRCell-004,ALARM_RAISED,RF_VSWR,MAJOR,Transmitter Antenna VSWR out of range,"Feeder/antenna mismatch, TX power reduced"
9964726d1d4a,2026-07-07T13:15:00,gNB-002,NRCell-004,ALARM_CLEARED,RF_VSWR,CLEARED,Transmitter Antenna VSWR out of range,"Feeder/antenna mismatch, TX power reduced"
faddc69aabfb,2026-07-07T14:00:00,gNB-001,NRCell-001,ALARM_CLEARED,NEIGHBOR_MISSING,CLEARED,Configuration or Customisation Error (ANR),"Missing/incorrect neighbour relation, HO to wrong PCI"
e85a39f565a0,2026-07-07T23:15:00,gNB-002,NRCell-006,ALARM_RAISED,HIGH_TEMP,WARNING,Temperature Unacceptable,Radio unit temperature approaching shutdown threshold
e85a39f565a0,2026-07-08T00:00:00,gNB-002,NRCell-006,ALARM_CLEARED,HIGH_TEMP,CLEARED,Temperature Unacceptable,Radio unit temperature approaching shutdown threshold
3273d2718cac,2026-07-08T19:15:00,gNB-001,NRCell-002,ALARM_RAISED,RF_VSWR,MAJOR,Transmitter Antenna VSWR out of range,"Feeder/antenna mismatch, TX power reduced"
ad37e21e19b6,2026-07-08T20:30:00,gNB-002,NRCell-006,ALARM_RAISED,CELL_DOWN,CRITICAL,Equipment Failure (baseband processing),NR cell out of service
ad37e21e19b6,2026-07-08T20:45:00,gNB-002,NRCell-006,ALARM_CLEARED,CELL_DOWN,CLEARED,Equipment Failure (baseband processing),NR cell out of service
3273d2718cac,2026-07-08T21:45:00,gNB-001,NRCell-002,ALARM_CLEARED,RF_VSWR,CLEARED,Transmitter Antenna VSWR out of range,"Feeder/antenna mismatch, TX power reduced"
44ad8a54cd77,2026-07-08T22:15:00,gNB-001,NRCell-001,ALARM_RAISED,CONGESTION,MINOR,Threshold Crossed (PRB utilisation),"High PRB utilisation, admission control active"
4c8ac52ba2e0,2026-07-08T23:45:00,gNB-001,NRCell-003,ALARM_RAISED,RF_VSWR,MAJOR,Transmitter Antenna VSWR out of range,"Feeder/antenna mismatch, TX power reduced"
